year,sex,count
1880,boy,118399
1880,girl,97604
1881,boy,108276
1881,girl,98855
1882,boy,122031
1882,girl,115694
1883,boy,112475
1883,girl,120060
1884,boy,122737
1884,girl,137585
1885,boy,115945
1885,girl,141947
1886,boy,119040
1886,girl,153734
1887,boy,109310
1887,girl,155422
1888,boy,129907
1888,girl,189445
1889,boy,119032
1889,girl,189218
1890,boy,119700
1890,girl,201663
1891,boy,109265
1891,girl,196567
1892,boy,131452
1892,girl,224913
1893,boy,121041
1893,girl,225232
1894,boy,124892
1894,girl,235972
1895,boy,126641
1895,girl,247105
1896,boy,129069
1896,girl,251993
1897,boy,121942
1897,girl,248275
1898,boy,132099
1898,girl,274145
1899,boy,115194
1899,girl,247488
1900,boy,162123
1900,girl,317738
1901,boy,115592
1901,girl,254229
1902,boy,132750
1902,girl,280330
1903,boy,129321
1903,girl,278195
1904,boy,138503
1904,girl,292434
1905,boy,143232
1905,girl,309863
1906,boy,144066
1906,girl,313433
1907,boy,158584
1907,girl,337432
1908,boy,166365
1908,girl,354530
1909,boy,176863
1909,girl,368093
1910,boy,208516
1910,girl,419526
1911,boy,241396
1911,girl,441817
1912,boy,451456
1912,girl,586714
1913,boy,536248
1913,girl,654914
1914,boy,683319
1914,girl,796626
1915,boy,880923
1915,girl,1023861
1916,boy,923239
1916,girl,1085716
1917,boy,959306
1917,girl,1123689
1918,boy,1048650
1918,girl,1202356
1919,boy,1015320
1919,girl,1174635
1920,boy,1100785
1920,girl,1244032
1921,boy,1137930
1921,girl,1279718
1922,boy,1125194
1922,girl,1247581
1923,boy,1132266
1923,girl,1252455
1924,boy,1169027
1924,girl,1295680
1925,boy,1151419
1925,girl,1263077
1926,boy,1145447
1926,girl,1230175
1927,boy,1161902
1927,girl,1236436
1928,boy,1141168
1928,girl,1195539
1929,boy,1107620
1929,girl,1157566
1930,boy,1129520
1930,girl,1166468
1931,boy,1069786
1931,girl,1103727
1932,boy,1074442
1932,girl,1106312
1933,boy,1020216
1933,girl,1046039
1934,boy,1061949
1934,girl,1082347
1935,boy,1069634
1935,girl,1086783
1936,boy,1064320
1936,girl,1077569
1937,boy,1093688
1937,girl,1101860
1938,boy,1136500
1938,girl,1141475
1939,boy,1133339
1939,girl,1134083
1940,boy,1186207
1940,girl,1181361
1941,boy,1254905
1941,girl,1246006
1942,boy,1408377
1942,girl,1390519
1943,boy,1454648
1943,girl,1435407
1944,boy,1389190
1944,girl,1366539
1945,boy,1371520
1945,girl,1346121
1946,boy,1650427
1946,girl,1612928
1947,boy,1857662
1947,girl,1817896
1948,boy,1782759
1948,girl,1742692
1949,boy,1802068
1949,girl,1755536
1950,boy,1818762
1950,girl,1758531
1951,boy,1911662
1951,girl,1847264
1952,boy,1973243
1952,girl,1901995
1953,boy,2002222
1953,girl,1929486
1954,boy,2069107
1954,girl,1990854
1955,boy,2090372
1955,girl,2004914
1956,boy,2146206
1956,girl,2059514
1957,boy,2188911
1957,girl,2098159
1958,boy,2154748
1958,girl,2065676
1959,boy,2167439
1959,girl,2078904
1960,boy,2165620
1960,girl,2079776
1961,boy,2157517
1961,girl,2077397
1962,boy,2102119
1962,girl,2027020
1963,boy,2064779
1963,girl,1988210
1964,boy,2026992
1964,girl,1957403
1965,boy,1894397
1965,girl,1827500
1966,boy,1817640
1966,girl,1755824
1967,boy,1779343
1967,girl,1716891
1968,boy,1775378
1968,girl,1709749
1969,boy,1828969
1969,girl,1762784
1970,boy,1904604
1970,girl,1831890
1971,boy,1817839
1971,girl,1752656
1972,boy,1673851
1972,girl,1612607
1973,boy,1613563
1973,girl,1554121
1974,boy,1630101
1974,girl,1566267
1975,boy,1622282
1975,girl,1560853
1976,boy,1632412
1976,girl,1571857
1977,boy,1709313
1977,girl,1645024
1978,boy,1708489
1978,girl,1643906
1979,boy,1791198
1979,girl,1723252
1980,boy,1854617
1980,girl,1780580
1981,boy,1862240
1981,girl,1788560
1982,boy,1887007
1982,girl,1814317
1983,boy,1863495
1983,girl,1789662
1984,boy,1876666
1984,girl,1803374
1985,boy,1924443
1985,girl,1846385
1986,boy,1921751
1986,girl,1845567
1987,boy,1950317
1987,girl,1874281
1988,boy,2002458
1988,girl,1923214
1989,boy,2096106
1989,girl,1992232
1990,boy,2152267
1990,girl,2054511
1991,boy,2119861
1991,girl,2033527
1992,boy,2099372
1992,girl,2004760
1993,boy,2065688
1993,girl,1971642
1994,boy,2038554
