DATE,GASREGW
2025-01-06,3.047
2025-01-13,3.043
2025-01-20,3.109
2025-01-27,3.103
2025-02-03,3.082
2025-02-10,3.128
2025-02-17,3.148
2025-02-24,3.125
2025-03-03,3.078
2025-03-10,3.069
2025-03-17,3.058
2025-03-24,3.115
2025-03-31,3.162
2025-04-07,3.243
2025-04-14,3.168
2025-04-21,3.141
2025-04-28,3.133
2025-05-05,3.147
2025-05-12,3.12
2025-05-19,3.173
2025-05-26,3.16
2025-06-02,3.127
2025-06-09,3.108
2025-06-16,3.139
2025-06-23,3.213
2025-06-30,3.164
2025-07-07,3.125
2025-07-14,3.13
2025-07-21,3.121
2025-07-28,3.123
2025-08-04,3.14
2025-08-11,3.118
2025-08-18,3.125
2025-08-25,3.147
2025-09-01,3.177
2025-09-08,3.192
2025-09-15,3.168
2025-09-22,3.173
2025-09-29,3.118
2025-10-06,3.124
2025-10-13,3.061
2025-10-20,3.019
2025-10-27,3.035
2025-11-03,3.019
2025-11-10,3.056
2025-11-17,3.062
2025-11-24,3.061
2025-12-01,2.985
2025-12-08,2.94
2025-12-15,2.895
2025-12-22,2.841
2025-12-29,2.811
