faa,name,city,state,lat,lon,alt
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04,-106.6089,5355
ACK,Nantucket Memorial,Nantucket,MA,41.2531,-70.0602,47
AGS,Augusta Regional at Bush Field,Augusta,GA,33.3699,-81.9645,144
ALB,Albany International,Albany,NY,42.7483,-73.8017,285
ANC,Ted Stevens Anchorage International,Anchorage,AK,61.179,-149.9926,152
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.6367,-84.4281,1026
ATW,Appleton International,Appleton,WI,44.2585,-88.519,918
AUS,Austin - Bergstrom International,Austin,TX,30.1975,-97.662,542
AVL,Asheville Regional,Asheville,NC,35.4355,-82.5419,2165
BDL,Bradley International,Hartford,CT,41.9386,-72.688,173
BGR,Bangor International,Bangor,ME,44.8064,-68.8267,192
BHM,Birmingham-Shuttlesworth International,Birmingham,AL,33.5629,-86.7507,650
BNA,Nashville International,Nashville,TN,36.1245,-86.6782,599
BOS,Logan International,Boston,MA,42.362,-71.0079,20
BQN,Rafael Hernandez,Aguadilla,PR,18.4949,-67.1294,237
BTV,Patrick Leahy Burlington International,Burlington,VT,44.4719,-73.1533,335
BUF,Buffalo Niagara International,Buffalo,NY,42.9405,-78.7322,728
BUR,Bob Hope,Burbank,CA,34.2028,-118.358,778
BZN,Bozeman Yellowstone International,Bozeman,MT,45.7789,-111.1537,4473
CAE,Columbia Metropolitan,Columbia,SC,33.9382,-81.123,236
CHA,Lovell Field,Chattanooga,TN,35.0353,-85.2038,683
CHO,Charlottesville Albemarle,Charlottesville,VA,38.1386,-78.4529,639
CHS,Charleston AFB/International,Charleston,SC,32.8962,-80.0382,46
CLE,Cleveland-Hopkins International,Cleveland,OH,41.4117,-81.8498,791
CLT,Charlotte Douglas International,Charlotte,NC,35.214,-80.9431,748
CMH,John Glenn Columbus International,Columbus,OH,39.998,-82.8919,815
CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,39.0488,-84.6678,896
DAB,Daytona Beach International,Daytona Beach,FL,29.1826,-81.0595,34
DAL,Dallas Love Field,Dallas,TX,32.8448,-96.8477,487
DAY,James M Cox/Dayton International,Dayton,OH,39.9024,-84.2194,1009
DCA,Ronald Reagan Washington National,Washington,DC,38.8521,-77.0377,15
DEN,Denver International,Denver,CO,39.86,-104.6738,5431
DFW,Dallas/Fort Worth International,Dallas/Fort Worth,TX,32.8968,-97.038,607
DSM,Des Moines International,Des Moines,IA,41.534,-93.6567,958
DTW,Detroit Metro Wayne County,Detroit,MI,42.2138,-83.3538,645
EGE,Eagle County Regional,Eagle,CO,39.6426,-106.918,6548
EWR,Newark Liberty International,Newark,NJ,40.6894,-74.1705,18
EYW,Key West International,Key West,FL,24.5561,-81.7596,3
FCA,Glacier Park International,Kalispell,MT,48.3105,-114.256,2977
FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,26.0726,-80.1527,9
FNT,Bishop International,Flint,MI,42.9693,-83.7434,782
GRB,Green Bay Austin Straubel International,Green Bay,WI,44.4835,-88.1308,695
GRR,Gerald R. Ford International,Grand Rapids,MI,42.8808,-85.5228,794
GSO,Piedmont Triad International,Greensboro/High Point,NC,36.0994,-79.9373,925
GSP,Greenville-Spartanburg International,Greer,SC,34.8957,-82.2189,964
HDN,Yampa Valley,Hayden,CO,40.4812,-107.218,6606
HHH,Hilton Head Airport,Hilton Head,SC,32.2244,-80.6975,19
HNL,Daniel K Inouye International,Honolulu,HI,21.3184,-157.9257,13
HOU,William P Hobby,Houston,TX,29.6453,-95.2768,46
HYA,Cape Cod Gateway,Hyannis,MA,41.6693,-70.2804,54
IAD,Washington Dulles International,Washington,DC,38.9445,-77.4558,312
IAH,George Bush Intercontinental/Houston,Houston,TX,29.9844,-95.3414,97
ILM,Wilmington International,Wilmington,NC,34.2723,-77.9051,32
IND,Indianapolis International,Indianapolis,IN,39.7173,-86.2944,797
ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,42.491,-76.4584,1099
JAC,Jackson Hole,Jackson,WY,43.6073,-110.738,6451
JAX,Jacksonville International,Jacksonville,FL,30.4925,-81.6878,30
JFK,John F. Kennedy International,New York,NY,40.6394,-73.7793,13
LAS,Harry Reid International,Las Vegas,NV,36.0834,-115.1518,2181
LAX,Los Angeles International,Los Angeles,CA,33.9425,-118.408,125
LGA,LaGuardia,New York,NY,40.7772,-73.8726,21
LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,34.7292,-92.2236,262
MCI,Kansas City International,Kansas City,MO,39.3017,-94.7139,1026
MCO,Orlando International,Orlando,FL,28.4294,-81.309,96
MDW,Chicago Midway International,Chicago,IL,41.786,-87.7524,620
MEM,Memphis International,Memphis,TN,35.0438,-89.9763,341
MHT,Manchester Boston Regional,Manchester,NH,42.9326,-71.4357,266
MIA,Miami International,Miami,FL,25.796,-80.2898,8
MKE,General Mitchell International,Milwaukee,WI,42.9472,-87.8966,723
MSN,Dane County Regional-Truax Field,Madison,WI,43.1399,-89.3375,887
MSP,Minneapolis-St Paul International,Minneapolis,MN,44.8801,-93.2217,841
MSY,Louis Armstrong New Orleans International,New Orleans,LA,29.9934,-90.2647,4
MTJ,Montrose Regional,Montrose/Delta,CO,38.5098,-107.894,5759
MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,41.3931,-70.6143,67
MYR,Myrtle Beach International,Myrtle Beach,SC,33.6797,-78.9283,25
OGG,Kahului Airport,Kahului,HI,20.8963,-156.4318,54
OKC,Okc Will Rogers International,Oklahoma City,OK,35.3934,-97.5982,1295
OMA,Eppley Airfield,Omaha,NE,41.3032,-95.8941,984
ONT,Ontario International,Ontario,CA,34.056,-117.601,944
ORD,Chicago O'Hare International,Chicago,IL,41.9786,-87.9048,680
